"Date(UTC)","UnixTimeStamp","Value (Wei)"
"5/11/2021","1620691200","226520116168"
"5/12/2021","1620777600","227371083908"
"5/13/2021","1620864000","230568899175"
"5/14/2021","1620950400","264171796733"
"5/15/2021","1621036800","227315209419"
"5/16/2021","1621123200","227086017388"
"5/17/2021","1621209600","230319952292"
"5/18/2021","1621296000","227438780208"
"5/19/2021","1621382400","230792660629"
"5/20/2021","1621468800","230613733704"
"5/21/2021","1621555200","228936141331"
"5/22/2021","1621641600","228977166225"
"5/23/2021","1621728000","232664465101"
"5/24/2021","1621814400","229209907478"
"5/25/2021","1621900800","227658278069"
"5/26/2021","1621987200","227222449993"
"5/27/2021","1622073600","228620519343"
"5/28/2021","1622160000","229095860444"
"5/29/2021","1622246400","227573478331"
"5/30/2021","1622332800","226894640807"
"5/31/2021","1622419200","227004151121"
"6/1/2021","1622505600","225939953111"
"6/2/2021","1622592000","225907123008"
"6/3/2021","1622678400","226128809105"
"6/4/2021","1622764800","226523261570"
"6/5/2021","1622851200","227276122795"
"6/6/2021","1622937600","226463133724"
"6/7/2021","1623024000","227157955695"
"6/8/2021","1623110400","226913190364"
"6/9/2021","1623196800","227045556681"
"6/10/2021","1623283200","227208892676"
"6/11/2021","1623369600","226970990549"
"6/12/2021","1623456000","228288674152"
"6/13/2021","1623542400","227981082844"
"6/14/2021","1623628800","226209037677"
"6/15/2021","1623715200","226504854369"
"6/16/2021","1623801600","230401249047"
"6/17/2021","1623888000","226373454638"
"6/18/2021","1623974400","228449734021"
"6/19/2021","1624060800","226668077375"
"6/20/2021","1624147200","227169817324"
"6/21/2021","1624233600","227963355352"
"6/22/2021","1624320000","229796607211"
"6/23/2021","1624406400","227020726919"
"6/24/2021","1624492800","226590286732"
"6/25/2021","1624579200","226272405205"
"6/26/2021","1624665600","226591922978"
"6/27/2021","1624752000","226843620622"
"6/28/2021","1624838400","226888610764"
"6/29/2021","1624924800","226375913058"
"6/30/2021","1625011200","226639623892"
"7/1/2021","1625097600","226376342397"
"7/2/2021","1625184000","226009142334"
"7/3/2021","1625270400","226094905882"
"7/4/2021","1625356800","226005265954"
"7/5/2021","1625443200","226411378868"
"7/6/2021","1625529600","228934458992"
"7/7/2021","1625616000","226203429442"
"7/8/2021","1625702400","226162316592"
"7/9/2021","1625788800","226128217433"
"7/10/2021","1625875200","226233107477"
"7/11/2021","1625961600","226894703074"
"7/12/2021","1626048000","226682089122"
"7/13/2021","1626134400","226722835219"
"7/14/2021","1626220800","226106118201"
"7/15/2021","1626307200","226234497231"
"7/16/2021","1626393600","225740383179"
"7/17/2021","1626480000","225836112146"
"7/18/2021","1626566400","226402936217"
"7/19/2021","1626652800","226017104208"
"7/20/2021","1626739200","226815909291"
"7/21/2021","1626825600","226241997494"
"7/22/2021","1626912000","225494028150"
"7/23/2021","1626998400","226146088388"
"7/24/2021","1627084800","226267592296"
"7/25/2021","1627171200","225824552846"
"7/26/2021","1627257600","226330347638"
"7/27/2021","1627344000","225656586022"
"7/28/2021","1627430400","225833687217"
"7/29/2021","1627516800","226609967742"
"7/30/2021","1627603200","226255644487"
"7/31/2021","1627689600","225686158027"
"8/1/2021","1627776000","225740183403"
"8/2/2021","1627862400","227585547817"
"8/3/2021","1627948800","226223516780"
"8/4/2021","1628035200","226014656426"
"8/5/2021","1628121600","226297720865"
"8/6/2021","1628208000","226265269969"
"8/7/2021","1628294400","225725934047"
"8/8/2021","1628380800","225778776412"
"8/9/2021","1628467200","225550648389"
"8/10/2021","1628553600","225382559343"
"8/11/2021","1628640000","225242443202"
"8/12/2021","1628726400","225128549291"
"8/13/2021","1628812800","225161522629"
"8/14/2021","1628899200","225270871389"
"8/15/2021","1628985600","225227920897"
"8/16/2021","1629072000","226361070848"
"8/17/2021","1629158400","225494570315"
"8/18/2021","1629244800","225349770958"
"8/19/2021","1629331200","226130562189"
"8/20/2021","1629417600","225661647716"
"8/21/2021","1629504000","225698663938"
"8/22/2021","1629590400","225412144719"
"8/23/2021","1629676800","225585712945"
"8/24/2021","1629763200","193174671588"
"8/25/2021","1629849600","143074649516"
"8/26/2021","1629936000","138210792781"
"8/27/2021","1630022400","167684703406"
"8/28/2021","1630108800","149931559929"
"8/29/2021","1630195200","118923245775"
"8/30/2021","1630281600","130225750288"
"8/31/2021","1630368000","126828283373"
"9/1/2021","1630454400","118779427942"
"9/2/2021","1630540800","125786229285"
"9/3/2021","1630627200","113098746590"
"9/4/2021","1630713600","111751146701"
"9/5/2021","1630800000","106957920596"
"9/6/2021","1630886400","109617599754"
"9/7/2021","1630972800","147430776610"
"9/8/2021","1631059200","125740853870"
"9/9/2021","1631145600","128156708244"
"9/10/2021","1631232000","153591785388"
"9/11/2021","1631318400","146739213181"
"9/12/2021","1631404800","148029852275"
"9/13/2021","1631491200","134136498961"
