"Date(UTC)","UnixTimeStamp","Value"
"5/30/2021","1622332800","2461251724"
"5/31/2021","1622419200","2791460675"
"6/1/2021","1622505600","4409448590"
"6/2/2021","1622592000","3208346971"
"6/3/2021","1622678400","2948277838"
"6/4/2021","1622764800","2568031031"
"6/5/2021","1622851200","2212774731"
"6/6/2021","1622937600","1938086040"
"6/7/2021","1623024000","2672544273"
"6/8/2021","1623110400","2426438644"
"6/9/2021","1623196800","2338980643"
"6/10/2021","1623283200","2284442262"
"6/11/2021","1623369600","2269229213"
"6/12/2021","1623456000","2022537639"
"6/13/2021","1623542400","2235088981"
"6/14/2021","1623628800","2995629341"
"6/15/2021","1623715200","2522747740"
"6/16/2021","1623801600","2920120606"
"6/17/2021","1623888000","2878865375"
"6/18/2021","1623974400","2183495580"
"6/19/2021","1624060800","1955253516"
"6/20/2021","1624147200","2914244059"
"6/21/2021","1624233600","2841693054"
"6/22/2021","1624320000","2700560076"
"6/23/2021","1624406400","2734437493"
"6/24/2021","1624492800","2842192568"
"6/25/2021","1624579200","4234995927"
"6/26/2021","1624665600","3453605663"
"6/27/2021","1624752000","2683573075"
"6/28/2021","1624838400","1624103294"
"6/29/2021","1624924800","8993977791"
"6/30/2021","1625011200","2719338144"
"7/1/2021","1625097600","1469189491"
"7/2/2021","1625184000","1876535829"
"7/3/2021","1625270400","3258297096"
"7/4/2021","1625356800","2204389863"
"7/5/2021","1625443200","2321168486"
"7/6/2021","1625529600","2580334631"
"7/7/2021","1625616000","6112602863"
"7/8/2021","1625702400","3843212494"
"7/9/2021","1625788800","2848010836"
"7/10/2021","1625875200","1911793178"
"7/11/2021","1625961600","2042168727"
"7/12/2021","1626048000","2510900673"
"7/13/2021","1626134400","2285548559"
"7/14/2021","1626220800","2563862132"
"7/15/2021","1626307200","2236249989"
"7/16/2021","1626393600","2418665057"
"7/17/2021","1626480000","2085531555"
"7/18/2021","1626566400","1809658510"
"7/19/2021","1626652800","1948670964"
"7/20/2021","1626739200","1947564867"
"7/21/2021","1626825600","2060066914"
"7/22/2021","1626912000","1817226009"
"7/23/2021","1626998400","2020841422"
"7/24/2021","1627084800","1808715916"
"7/25/2021","1627171200","1683256502"
"7/26/2021","1627257600","2602351167"
"7/27/2021","1627344000","2183042872"
"7/28/2021","1627430400","2360532146"
"7/29/2021","1627516800","2699027393"
"7/30/2021","1627603200","2261207530"
"7/31/2021","1627689600","1728835160"
"8/1/2021","1627776000","1931939210"
"8/2/2021","1627862400","2143899249"
"8/3/2021","1627948800","2058570565"
"8/4/2021","1628035200","1845465263"
"8/5/2021","1628121600","1774762631"
"8/6/2021","1628208000","2187172268"
"8/7/2021","1628294400","1934720656"
"8/8/2021","1628380800","1597882524"
"8/9/2021","1628467200","2338954376"
"8/10/2021","1628553600","6245133239"
"8/11/2021","1628640000","19282268189"
"8/12/2021","1628726400","9641421005"
"8/13/2021","1628812800","5191258662"
"8/14/2021","1628899200","3280054943"
"8/15/2021","1628985600","2841745516"
"8/16/2021","1629072000","4333047947"
"8/17/2021","1629158400","5737115556"
"8/18/2021","1629244800","6752455126"
"8/19/2021","1629331200","12445030318"
"8/20/2021","1629417600","13710003896"
"8/21/2021","1629504000","23466159842"
"8/22/2021","1629590400","13814069764"
"8/23/2021","1629676800","18866592155"
"8/24/2021","1629763200","22183893426"
"8/25/2021","1629849600","31278144786"
"8/26/2021","1629936000","29857507786"
"8/27/2021","1630022400","34565683373"
"8/28/2021","1630108800","28778986910"
"8/29/2021","1630195200","25536276295"
"8/30/2021","1630281600","23977550368"
"8/31/2021","1630368000","18108767978"
"9/1/2021","1630454400","17690351363"
"9/2/2021","1630540800","23616859688"
"9/3/2021","1630627200","19161539910"
"9/4/2021","1630713600","16790443189"
"9/5/2021","1630800000","14739170664"
"9/6/2021","1630886400","20139283727"
"9/7/2021","1630972800","21793523532"
"9/8/2021","1631059200","19496521784"
"9/9/2021","1631145600","24448732826"
"9/10/2021","1631232000","34016271393"
"9/11/2021","1631318400","31509781394"
"9/12/2021","1631404800","31900479230"
"9/13/2021","1631491200","24760139615"
"9/14/2021","1631577600","22633416910"
"9/15/2021","1631664000","32913948882"
"9/16/2021","1631750400","30619740031"
"9/17/2021","1631836800","24748456258"
"9/18/2021","1631923200","25767467310"
"9/19/2021","1632009600","25152009985"
"9/20/2021","1632096000","40851887729"
"9/21/2021","1632182400","24032421547"
"9/22/2021","1632268800","24725922636"
"9/23/2021","1632355200","34739684718"
"9/24/2021","1632441600","30798259138"
"9/25/2021","1632528000","26250205300"
"9/26/2021","1632614400","24273743606"
"9/27/2021","1632700800","31887418305"
"9/28/2021","1632787200","27583871847"
"9/29/2021","1632873600","28132922915"
"9/30/2021","1632960000","28018498801"
"10/1/2021","1633046400","29953490170"
"10/2/2021","1633132800","30968136451"
"10/3/2021","1633219200","25735644579"
"10/4/2021","1633305600","44526346202"
"10/5/2021","1633392000","61043946703"
"10/6/2021","1633478400","42701810544"
"10/7/2021","1633564800","35630415317"
"10/8/2021","1633651200","38590203233"
"10/9/2021","1633737600","30125686076"
"10/10/2021","1633824000","36448332327"
"10/11/2021","1633910400","40522010346"
"10/12/2021","1633996800","41312430921"
"10/13/2021","1634083200","35730468937"
"10/14/2021","1634169600","31224475823"
"10/15/2021","1634256000","36741961666"
"10/16/2021","1634342400","30646637070"
"10/17/2021","1634428800","28061124712"
"10/18/2021","1634515200","34826062108"
"10/19/2021","1634601600","31266701414"
"10/20/2021","1634688000","41191234436"
"10/21/2021","1634774400","47418014723"
"10/22/2021","1634860800","63804840375"
"10/23/2021","1634947200","51061271590"
"10/24/2021","1635033600","44895954380"
"10/25/2021","1635120000","52444754324"
"10/26/2021","1635206400","70816756042"
"10/27/2021","1635292800","48676304456"
"10/28/2021","1635379200","42348977249"
"10/29/2021","1635465600","40823160317"
"10/30/2021","1635552000","36348492955"
"10/31/2021","1635638400","42693900524"
"11/1/2021","1635724800","40975464925"
"11/2/2021","1635811200","44818083759"
"11/3/2021","1635897600","47687643822"
"11/4/2021","1635984000","48332221572"
"11/5/2021","1636070400","49827649964"
"11/6/2021","1636156800","53260450713"
"11/7/2021","1636243200","47456682851"
"11/8/2021","1636329600","85710900318"
"11/9/2021","1636416000","72383862827"
"11/10/2021","1636502400","71190635306"
"11/11/2021","1636588800","57217202774"
"11/12/2021","1636675200","55491978657"
"11/13/2021","1636761600","71528037987"
"11/14/2021","1636848000","61855860876"
"11/15/2021","1636934400","76524817257"
"11/16/2021","1637020800","72615531900"
"11/17/2021","1637107200","79375351327"
"11/18/2021","1637193600","92180114247"
"11/19/2021","1637280000","75484138229"
